Census Tract,2019 Total Crime Index,Low_Response_Score,pct_Mobile_Homes_ACS_13_17,pct_Crowd_Occp_U_ACS_13_17,pct_PUB_ASST_INC_ACS_13_17,pct_Sngl_Prns_HHD_ACSMOE_13_17,avg_job_growth_04_13,job_density_13,Incarceration_rate
42101030600,95,23.7,0.44,1.56,4.74,6.78,-0.0114,2622,0.0134
42101030700,131,27.1,0,6.31,1.66,7.34,-0.0272,2702,0.0013
42101030800,172,21.2,0,3.9,1.16,6.35,-0.1142,452.8,0.003
42101030900,37,27.8,0,6.14,7.53,7.55,0.051,2703,0.007
42101031000,95,23,0.55,4.65,4.37,5.87,0.0399,2190,0.0059
42101031101,76,30.2,0,3.99,14.7,7.51,-0.0009,866.7,0.0217
42101031102,67,25.3,0,1.4,2.47,6.99,0.1443,1857,0.0185
42101031200,87,26.9,0,3.1,13.31,9.15,0.0114,933.7,0.015
42101031300,117,27.5,1.67,2.43,7.16,6.56,-0.0657,2069,0.0162
42101031401,105,26.2,2.34,4.21,2.74,6.28,0.0329,2443,0.0091
42101031402,125,23.8,0.93,3.73,5.38,6.23,0.1264,2303,0.0155
42101031501,68,21.2,0,4.87,7.36,11.18,0.001,1463,0.0139
42101031502,42,23.6,0.44,1.96,9.67,7.75,-0.0211,4471,0.0017
42101031600,49,24.6,0,1.61,0.74,6.06,-0.0007,3565,0.0104
42101031700,78,23.6,0,1.73,2.37,9.37,-0.0259,782.4,0.0063
42101031800,84,26.6,0.51,0.62,6.45,7.43,0.1964,1207,0.0178
42101031900,77,27.7,0,2.1,10.54,7.66,-0.0066,819.4,0.008
42101032000,67,22.2,0.52,0.61,9.6,6.03,-0.0325,2392,0.0076
42101032100,66,28.8,0,4.63,17.95,7.5,-0.0216,1728,0.0074
42101032300,155,25.8,0,1.81,9.36,7.3,0.023,909.5,0.0097
42101032500,92,25.8,0,1.83,11.97,8.38,0.0296,1577,0.0188
42101032600,106,24.7,1.61,1.44,3.51,9.38,0.0047,1470,0.0042
42101032900,76,25.5,0,3.38,10.15,10.4,0.0301,1548,0.0174
42101033000,127,24.2,0.59,0,7.99,8.02,0.0373,2364,0.0129
42101033101,85,18.8,0,2.11,2.46,6.73,0.0101,2713,0.0106
42101033102,36,19.6,0,0.51,2.15,8.33,-0.0301,2018,0.0107
42101033200,75,17.4,0,0,1.46,5.9,0.092,1588,0.0144
42101033300,25,16.7,0,2.4,3.15,6.3,-0.0109,6194,0.007
42101033400,59,19.9,0.4,3.62,0.85,5.97,0.0601,3683,0.0084
42101033500,78,22.7,1.81,3.17,6.98,9.05,-0.0299,6291,0.0069
42101033600,105,23.6,0,7.34,6.11,7.39,0.0083,1353,0.01
42101033701,68,22,0,3.39,7.65,8.87,0.02,4383,0.0095
42101033702,138,15.5,0,1.34,2.16,8.05,0.0032,350.5,0.0073
42101033800,31,21.2,0.43,5.65,0.48,6.37,0.0052,1092,0.0083
42101033900,40,23.4,0,4.65,6.34,8.86,0.0031,5571,0.0071
42101034000,129,17.1,0,2.22,2.61,7.13,-0.0853,1098,0.0027
42101034100,31,20,0,1.69,0.95,6.61,0.0153,1386,0.0104
42101034200,73,18.3,0,0.41,0.95,5.99,0.0298,1785,0.0045
42101034400,54,13.4,0,1.18,2.83,5.33,0.0223,670,0.0031
42101034501,39,21.5,0,3.31,5.8,6.37,-0.0205,1046,0.0126
42101034502,134,22.2,0.7,2.38,4.34,6.71,-0.034,3379,0.0347
42101034600,172,25.4,0,1.9,8,8.63,0.1093,5725,0.013
42101034701,441,17.8,0.39,4.58,1.11,7.5,0.0229,747.2,0.0038
42101034702,24,15.2,0,2.12,2.34,5.77,0.0533,1653,0.0079
42101034801,30,17.8,0,1.73,3.02,5.95,-0.0362,1684,0.0105
42101034802,43,24.2,0,4.81,3.96,6.88,0.0281,285.7,0.0194
42101034803,101,17.3,0,0.52,3.78,6.47,0.0125,790.2,0.0092
42101034900,18,24.3,0,1.3,8.25,8.63,0.0292,1699,0.0151
42101035100,166,14.6,0,0,4.74,5.66,-0.0517,898.7,0.0239
42101035200,22,16.4,0,1.06,0.56,6.16,-0.0055,1082,0.0152
42101035301,86,18.9,0,0.41,2.1,5.56,0.2218,5096,0.0086
42101035302,55,18.2,0,0,2.98,6.78,-0.1841,1021,0.0049
42101035500,230,18.2,0.4,5.45,3.55,7.61,-0.0311,2186,0.0047
42101035601,227,15.1,0.65,0.92,5.89,6.37,-0.0229,1696,0.0026
42101035602,50,15,0,0,3.63,7.25,0.0396,2603,0.002
42101035701,106,20.7,0,10.51,4.86,5.85,0.0609,3359,0.002
42101035702,157,24.1,0,2.88,8.89,9.22,0.0125,1434,0.0004
42101035800,125,14.8,0,5.06,2.35,6.54,-0.0167,808.5,0.0083
42101035900,41,15.8,0,1.84,1.89,6.54,0.1303,2136,0.0022
42101036000,78,16.2,0,0,4.58,6.4,-0.0099,4414,0.012
42101036100,364,21.9,0,5.97,3.6,8.28,-0.0515,183.2,0.0041
42101036201,254,19.2,0,0.31,3.6,5.81,0.0129,899.5,0.0023
42101036202,149,17.5,0,0,0.26,7.59,-0.1095,781.9,0.0069
